ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Radula_complanata,,hep,0,NA,NA,NA
Radula_complanata,Radula_complanta,hep,0,NA,NA,NA
Reboulia_hemisphaerica,,hep,0,NA,NA,NA
Reboulia_hemisphaerica,Asterella_hemisphaerica,hep,0,NA,NA,NA
Reboulia_hemisphaerica,Reboulia_haemispherica,hep,0,NA,NA,NA
Reboulia_hemisphaerica,Reboulia_hemispherica,hep,0,NA,NA,NA
Reboulia_hemisphaerica,Reboulia_hemispraerica,hep,0,NA,NA,NA
Riccardia_chamedryfolia,,hep,0,NA,NA,NA
Riccardia_chamedryfolia,Aneura_pinnatifida,hep,0,NA,NA,NA
Riccardia_chamedryfolia,Aneura_sinuata,hep,0,NA,NA,NA
Riccardia_chamedryfolia,Riccardia_chamaedryfolia,hep,0,NA,NA,NA
Riccardia_chamedryfolia,Riccardia_major,hep,0,NA,NA,NA
Riccardia_latifrons,,hep,0,NA,NA,NA
Riccardia_latifrons,Aneura_latifrons,hep,0,NA,NA,NA
Riccardia_latifrons,Aneura_palmata,hep,0,NA,NA,NA
Riccardia_latifrons,Riccardia_sinuata,hep,0,NA,NA,NA
Riccardia_multifida,,hep,0,NA,NA,NA
Riccardia_multifida,Riccardia_mulitfida,hep,0,NA,NA,NA
Riccardia_palmata,,hep,0,NA,NA,NA
Riccia_beyrichiana,,hep,0,NA,NA,NA
Riccia_beyrichiana,Riccia_beurichiana,hep,0,NA,NA,NA
Riccia_californica,,hep,0,NA,NA,NA
Riccia_campbelliana,,hep,0,NA,NA,NA
Riccia_canaliculata,,hep,0,NA,NA,NA
Riccia_cavernosa,,hep,0,NA,NA,NA
Riccia_cavernosa,Riccia_caverosa,hep,0,NA,NA,NA
Riccia_cavernosa,Riccia_cristallina,hep,0,NA,NA,NA
Riccia_cavernosa,Riccia_crystallina,hep,0,NA,NA,NA
Riccia_cavernosa,Ricciella_crystallina,hep,0,NA,NA,NA
Riccia_crystallina,,hep,0,NA,NA,NA
Riccia_fluitans,,hep,0,NA,NA,NA
Riccia_fluitans,Ricciella_fluitans,hep,0,NA,NA,NA
Riccia_fluitans,Ricciocarpos_fluitans,hep,0,NA,NA,NA
Riccia_frostii,,hep,0,NA,NA,NA
Riccia_glauca,,hep,0,NA,NA,NA
Riccia_lamellosa,,hep,0,NA,NA,NA
Riccia_lamellosa,Riccia_americana,hep,0,NA,NA,NA
Riccia_lamellosa,Riccia_austini,hep,0,NA,NA,NA
Riccia_lamellosa,Riccia_austinii,hep,0,NA,NA,NA
Riccia_nigrella,,hep,0,NA,NA,NA
Riccia_nigrella,Riccia_nigella,hep,0,NA,NA,NA
Riccia_sorocarpa,,hep,0,NA,NA,NA
Riccia_trichocarpa,Riccia_ciliata,hep,0,NA,NA,NA
Ricciocarpos_natans,,hep,0,NA,NA,NA
Riella_affinis,,hep,0,NA,NA,NA
Riella_americana,,hep,0,NA,NA,NA
